Ref,Magic,Ticker,Symbol,Future,Side,Dir,Volume,Entry,Exit,Open,Close,Durat.Hr,Durat.Min,PTake,PStop,TP,SL,ULA Change,ULA Variat,Costs,Result,Return
AT_GL_Real,111514,BIT,BITG26,G26,Long,1,1.0,2026-02-05 12:44:05,2026-02-05 14:44:16,358300.0,354220.0,2.0030555555555556,120.18333333333334,367260.0,,2.5,,-4080.0,-1.1387105777281619,0.0,-40.8,-1.1387105777281619
AT_GL_Real,111514,BIT,BITG26,G26,Long,1,1.0,2026-02-06 09:14:59,2026-02-06 11:38:23,350280.0,359000.0,2.39,143.4,359040.0,,2.5,,8720.0,2.4894370218111277,0.0,87.2,2.4894370218111277
AT_GL_Real,101514,WIN,WING26,G26,Long,1,1.0,2026-02-09 09:29:24,2026-02-09 14:11:36,184280.0,185655.0,4.703333333333333,282.2,185665.0,,0.75,,1375.0,0.7461471673540103,0.0,275.0,0.7461471673540103
AT_GL_Real,111518,BIT,BITG26,G26,Short,-1,1.0,2026-02-10 09:02:24,2026-02-10 10:33:45,358920.0,361320.0,1.5225,91.35,,361540.0,,-0.75,2400.0,0.668672684720832,0.0,-24.0,-0.668672684720832
AT_GL_Real,111518,BIT,BITG26,G26,Short,-1,1.0,2026-02-10 11:02:35,2026-02-10 12:30:18,360920.0,363460.0,1.4619444444444445,87.71666666666667,,363620.0,,-0.75,2540.0,0.7037570652776282,0.0,-25.4,-0.7037570652776282
AT_GL_Real,111518,BIT,BITG26,G26,Short,-1,1.0,2026-02-11 09:02:16,2026-02-11 10:30:07,349540.0,351680.0,1.4641666666666666,87.85,,352360.0,,-0.81,2140.0,0.6122332208044838,0.0,-21.4,-0.6122332208044838
AT_GL_Real,101502,WIN,WING26,G26,Short,-1,1.0,2026-02-11 09:59:38,2026-02-11 11:29:00,188405.0,189425.0,1.4894444444444443,89.36666666666666,,190290.0,,-1.0,1020.0,0.5413869058676681,0.0,-204.0,-0.5413869058676681
AT_GL_Real,111502,BIT,BITG26,G26,Short,-1,1.0,2026-02-11 12:32:16,2026-02-11 13:49:17,345940.0,343340.0,1.283611111111111,77.01666666666667,343340.0,,0.75,,-2600.0,-0.7515754177024832,0.0,26.0,0.7515754177024832
AT_GL_Real,111518,BIT,BITG26,G26,Short,-1,1.0,2026-02-12 10:04:37,2026-02-12 10:58:28,352660.0,355260.0,0.8975,53.85,,355300.0,,-0.75,2600.0,0.7372540123631808,0.0,-26.0,-0.7372540123631808
AT_GL_Real,101519,WIN,WING26,G26,Long,1,1.0,2026-02-13 09:18:43,2026-02-13 17:57:56,185725.0,186450.0,8.653611111111111,519.2166666666667,186660.0,,0.5,,725.0,0.39036209449454873,0.0,145.0,0.39036209449454873
AT_GL_Real,121522,WDO,WDOH26,H26,Short,-1,1.0,2026-02-13 11:09:34,2026-02-13 17:57:56,5229.0,5238.0,6.806111111111111,408.3666666666667,5203.5,,0.49,,9.0,0.17211703958692226,0.0,0.0,-0.17211703958692226
[Ordem de zerada automatica],,WIN,WING26,G26,Short,-1,1.0,2026-02-13 17:57:56,2026-02-13 17:57:56,186450.0,185725.0,0.0,0.0,,,,,-725.0,-0.3888441941539327,0.0,0.0,0.3888441941539327
[Ordem de zerada automatica],,WDO,WDOH26,H26,Long,1,1.0,2026-02-13 17:57:56,2026-02-13 17:57:56,5238.0,5229.0,0.0,0.0,,,,,-9.0,-0.17182130584191668,0.0,-90.0,-0.17182130584191668
GL_Real,111518,BIT,BITG26,G26,Short,-1,1.0,2026-02-23 09:44:14,2026-02-23 11:44:10,345320.0,339620.0,1.998888888888889,119.93333333333334,,347940.0,,-0.75,-5700.0,-1.6506428819645578,0.0,57.0,1.6506428819645578
GL_Real,111520,BIT,BITG26,G26,Long,1,1.0,2026-02-23 11:44:15,2026-02-23 11:49:41,339920.0,338540.0,0.09055555555555556,5.433333333333334,,338560.0,,-0.4,-1380.0,-0.4059778771475635,0.0,-13.8,-0.4059778771475635
GL_Real,111518,BIT,BITG26,G26,Short,-1,1.0,2026-02-24 10:59:43,2026-02-24 11:47:58,326400.0,328840.0,0.8041666666666667,48.25,,328840.0,,-0.75,2440.0,0.7475490196078454,0.0,-24.4,-0.7475490196078454
GL_Real,111520,BIT,BITG26,G26,Long,1,1.0,2026-02-24 11:14:43,2026-02-24 17:14:41,326260.0,332920.0,5.999444444444444,359.96666666666664,,324960.0,,-0.4,6660.0,2.041316741249304,0.0,66.6,2.041316741249304
GL_Real,111514,BIT,BITG26,G26,Long,1,1.0,2026-02-24 14:44:43,2026-02-24 16:44:41,331020.0,332960.0,1.9994444444444444,119.96666666666667,339260.0,315260.0,2.49,-4.76,1940.0,0.5860673071113496,0.0,19.4,0.5860673071113496
GL_Real,101529,WIN,WINJ26,J26,Short,-1,1.0,2026-02-26 09:45:13,2026-02-26 11:45:27,194020.0,193250.0,2.003888888888889,120.23333333333333,193245.0,198190.0,0.4,-2.15,-770.0,-0.3968663024430441,0.0,154.0,0.3968663024430441
GL_Real,121529,WDO,WDOH26,H26,Long,1,1.0,2026-02-26 09:45:15,2026-02-26 12:06:31,5143.5,5144.5,2.3544444444444443,141.26666666666668,,5079.0,,-1.25,1.0,0.019442014192662782,0.0,10.0,0.019442014192662782
GL_Real,111518,BIT,BITG26,G26,Short,-1,1.0,2026-02-27 09:30:03,2026-02-27 10:47:35,338640.0,341180.0,1.2922222222222222,77.53333333333333,,341180.0,,-0.75,2540.0,0.7500590597684891,0.0,-25.4,-0.7500590597684891
GL_Real,101519,WIN,WINJ26,J26,Long,1,1.0,2026-03-02 09:45:11,2026-03-02 10:23:25,190085.0,191020.0,0.6372222222222222,38.233333333333334,191035.0,186760.0,0.5,-1.75,935.0,0.491885209248494,0.0,187.0,0.491885209248494
GL_Real,101515,WIN,WINJ26,J26,Short,-1,1.0,2026-03-02 09:45:11,2026-03-02 12:45:05,190080.0,191375.0,2.9983333333333335,179.9,189510.0,193405.0,0.3,-1.75,1295.0,0.68129208754209,0.0,-259.0,-0.68129208754209
GL_Real,111514,BIT,BITH26,H26,Long,1,1.0,2026-03-02 12:45:08,2026-03-02 14:45:05,365540.0,361020.0,1.9991666666666668,119.95,374700.0,348200.0,2.51,-4.74,-4520.0,-1.236526782294689,0.0,-45.2,-1.236526782294689
GL_Real,101529,WIN,WINJ26,J26,Short,-1,1.0,2026-03-02 12:45:12,2026-03-02 17:30:12,191370.0,192075.0,4.75,285.0,190605.0,195195.0,0.4,-2.0,705.0,0.36839630036055837,0.0,-141.0,-0.36839630036055837
GL_Real,101501,WIN,WINJ26,J26,Long,1,1.0,2026-03-03 09:30:05,2026-03-03 17:30:10,188045.0,186295.0,8.001388888888888,480.0833333333333,189935.0,182885.0,1.01,-2.74,-1750.0,-0.9306283070541639,0.0,-350.0,-0.9306283070541639
GL_Real,121542,WDO,WDOJ26,J26,Long,1,1.0,2026-03-03 09:30:07,2026-03-03 11:00:03,5284.0,5298.5,1.498888888888889,89.93333333333334,5337.0,5202.0,1.0,-1.55,14.5,0.27441332323996903,0.0,145.0,0.27441332323996903
GL_Real,121542,WDO,WDOJ26,J26,Long,1,1.0,2026-03-03 11:00:09,2026-03-03 11:56:43,5298.5,5350.0,0.9427777777777778,56.56666666666667,5351.5,5216.5,1.0,-1.55,51.5,0.9719731999622496,0.0,515.0,0.9719731999622496
GL_Real,121503,WDO,WDOJ26,J26,Short,-1,1.0,2026-03-03 11:15:07,2026-03-03 15:15:03,5319.5,5318.5,3.9988888888888887,239.93333333333334,5279.5,5426.0,0.75,-2.0,-1.0,-0.018798759281892785,0.0,10.0,0.018798759281892785
GL_Real,121522,WDO,WDOJ26,J26,Short,-1,1.0,2026-03-03 11:15:07,2026-03-03 15:15:03,5319.5,5318.5,3.9988888888888887,239.93333333333334,5293.0,5412.5,0.5,-1.75,-1.0,-0.018798759281892785,0.0,10.0,0.018798759281892785
GL_Real,101520,WIN,WINJ26,J26,Short,-1,1.0,2026-03-04 10:00:10,2026-03-04 11:30:04,188385.0,187410.0,1.4983333333333333,89.9,186990.0,190760.0,0.74,-1.26,-975.0,-0.5175571303447697,0.0,195.0,0.5175571303447697
GL_Real,121517,WDO,WDOJ26,J26,Long,1,1.0,2026-03-05 09:45:09,2026-03-05 17:30:10,5283.0,5308.0,7.750277777777778,465.01666666666665,,5217.0,,-1.25,25.0,0.4732159757713532,0.0,250.0,0.4732159757713532
GL_Real,121522,WDO,WDOJ26,J26,Short,-1,1.0,2026-03-05 11:15:09,2026-03-05 15:15:03,5277.5,5309.0,3.9983333333333335,239.9,5251.0,5370.0,0.5,-1.75,31.5,0.5968735196589421,0.0,-315.0,-0.5968735196589421
GL_Real,111502,BIT,BITH26,H26,Short,-1,1.0,2026-03-05 12:45:12,2026-03-05 14:15:03,378700.0,377420.0,1.4975,89.85,375780.0,386200.0,0.78,-1.98,-1280.0,-0.33799841563242694,0.0,12.8,0.33799841563242694
GL_Real,101529,WIN,WINJ26,J26,Short,-1,1.0,2026-03-06 09:15:08,2026-03-06 11:10:19,181795.0,181095.0,1.9197222222222223,115.18333333333334,181070.0,185430.0,0.4,-2.0,-700.0,-0.38504909375946283,0.0,140.0,0.38504909375946283
GL_Real,111518,BIT,BITH26,H26,Short,-1,1.0,2026-03-06 09:15:13,2026-03-06 11:15:03,373860.0,368240.0,1.9972222222222222,119.83333333333333,,376600.0,,-0.77,-5620.0,-1.5032365056438266,0.0,56.2,1.5032365056438266
GL_Real,101501,WIN,WINJ26,J26,Long,1,1.0,2026-03-06 09:30:09,2026-03-06 17:30:10,182595.0,181770.0,8.000277777777777,480.01666666666665,184445.0,177600.0,1.01,-2.74,-825.0,-0.4518196007557833,0.0,-165.0,-0.4518196007557833
GL_Real,111522,BIT,BITH26,H26,Short,-1,1.0,2026-03-06 09:30:16,2026-03-06 09:44:15,373580.0,371840.0,0.23305555555555554,13.983333333333333,371760.0,392300.0,0.49,-5.01,-1740.0,-0.4657636918464618,0.0,17.4,0.4657636918464618
GL_Real,111518,BIT,BITH26,H26,Short,-1,1.0,2026-03-09 09:15:12,2026-03-09 10:49:52,359960.0,362900.0,1.5777777777777777,94.66666666666667,,362600.0,,-0.73,2940.0,0.8167574174908339,0.0,-29.4,-0.8167574174908339
GL_Real,101501,WIN,WINJ26,J26,Long,1,1.0,2026-03-09 09:30:07,2026-03-09 16:19:33,181080.0,182890.0,6.823888888888889,409.43333333333334,182890.0,176100.0,1.0,-2.75,1810.0,0.9995582063176585,0.0,362.0,0.9995582063176585
GL_Real,111514,BIT,BITH26,H26,Long,1,1.0,2026-03-10 09:15:14,2026-03-10 11:15:03,367000.0,362060.0,1.9969444444444444,119.81666666666666,376120.0,349520.0,2.49,-4.76,-4940.0,-1.3460490463215251,0.0,-49.4,-1.3460490463215251
GL_Real,101522,WIN,WINJ26,J26,Short,-1,1.0,2026-03-10 13:15:06,2026-03-10 14:15:03,186205.0,187365.0,0.9991666666666666,59.95,184335.0,188520.0,1.0,-1.24,1160.0,0.6229693080207284,0.0,-232.0,-0.6229693080207284
