const,tf,datetime,time,open,high,low,close,tick_volume,spread,real_volume
WIN$N,M1,2025-06-25 16:29:00,1750868940,138315.0,138325.0,138290.0,138295.0,2205,5,6597
WIN$N,M1,2025-06-25 16:30:00,1750869000,138290.0,138310.0,138270.0,138285.0,3644,5,9736
WIN$N,M1,2025-06-25 16:31:00,1750869060,138290.0,138295.0,138270.0,138290.0,2241,5,6520
WIN$N,M1,2025-06-25 16:32:00,1750869120,138295.0,138340.0,138285.0,138325.0,4316,5,13423
WIN$N,M1,2025-06-25 16:33:00,1750869180,138325.0,138340.0,138305.0,138320.0,2370,5,7756
WIN$N,M1,2025-06-25 16:34:00,1750869240,138315.0,138375.0,138315.0,138320.0,6742,5,19766
WIN$N,M1,2025-06-25 16:35:00,1750869300,138320.0,138320.0,138270.0,138300.0,5550,5,19017
WIN$N,M1,2025-06-25 16:36:00,1750869360,138295.0,138295.0,138255.0,138280.0,4398,5,15454
WIN$N,M1,2025-06-25 16:37:00,1750869420,138280.0,138290.0,138265.0,138270.0,2107,5,6787
WIN$N,M1,2025-06-25 16:38:00,1750869480,138270.0,138270.0,138215.0,138225.0,6691,5,23402
WIN$N,M1,2025-06-25 16:39:00,1750869540,138225.0,138250.0,138215.0,138225.0,2858,5,8960
WIN$N,M1,2025-06-25 16:40:00,1750869600,138230.0,138230.0,138175.0,138190.0,5798,5,19518
WIN$N,M1,2025-06-25 16:41:00,1750869660,138190.0,138205.0,138170.0,138195.0,2731,5,9291
WIN$N,M1,2025-06-25 16:42:00,1750869720,138195.0,138235.0,138190.0,138230.0,4267,5,14547
WIN$N,M1,2025-06-25 16:43:00,1750869780,138235.0,138250.0,138215.0,138225.0,3127,5,10199
WIN$N,M1,2025-06-25 16:44:00,1750869840,138220.0,138225.0,138145.0,138150.0,7977,5,27124
WIN$N,M1,2025-06-25 16:45:00,1750869900,138155.0,138205.0,138145.0,138170.0,6235,5,20737
WIN$N,M1,2025-06-25 16:46:00,1750869960,138170.0,138200.0,138155.0,138180.0,2754,5,9711
WIN$N,M1,2025-06-25 16:47:00,1750870020,138185.0,138185.0,138160.0,138175.0,1301,5,3795
WIN$N,M1,2025-06-25 16:48:00,1750870080,138175.0,138185.0,138165.0,138170.0,1175,5,3650
